id,Grouper,Meaning,Tack_1,Tack_2,Tack_3,Tack_4,Free_Text_Tack_1,Free_Text_Tack_2,Free_Text_Tack_3,Free_Text_Tack_4,Free_Text_Tack_5,Free_Text_Tack_6,Table_Group,List_A,List_B,List_C,Free_Text_List,created_at
,DIV,DIVISIONAL LINE GUIDE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,SUBDIV,SUBDIVISIONAL LINE GUIDE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,C/S,C/S Free_Text_Tack_1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NULL
,DESIG,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NULL
,FLAG,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
,PREP,Prepare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,FLAG 1,(Identifying flag for ASW Action Table),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NULL
,FLAG 2,(Identifying flag for Surface Action Table),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NULL
,FLAG 3,Boat Signal,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NULL
,FLAG 4,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NULL
,FLAG 5,Breakdown,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NULL
,FLAG 6,Act at your Discretion,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NULL
,FLAG 7,(Identifying flag for Surface AAW Action Table),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NULL
,FLAG 8,Boat Signal,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NULL
,FLAG 9,(Identifying flag for Surface Torpedo Action Table),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NULL
,FLAG 0,Military Guard (Not Underway)/ Guard Mail (By Boat),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NULL
,FLAG G16,Ready to Guide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,FLAG G8,I am approaching entrance of channel.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
