id,Table_Grouper,Meaning,created_at,updated_at
,1A,"(See ASW Action Table, Section 1000)",,
,2A,"(See Surface Action Table, Section 3100)",,
,3A,Air Force Officer,,
,4A,Air Wing/General commander,,
,5A,"(See AAW Action Table, Section 2500)",,
,6A,Army Officer,,
,7A,"(See Torpedo Action Table, Section 3105)",,
,8A,ASW Officer,,
,9A,Aviation Officer,,
,10A,Boarding Officer,,
,11A,Chief of Navy,,
,12A,Chief of Staff,,
,13A,Combat Information Center Officer,,
,14A,Combat Cargo Officer,,
,15A,Command Duty Officer,,
,16A,Commanding Officer,,
,17A,Communication Officer,,
,18A,Correspondence Officer,,
,19A,Countermeasures Officer,,
,20A,Customs Officer,,
,21A,Damage Control Officer,,
,22A,Dental Officer,,
,23A,Deputy Chief of Navy,,
,24A,Disbursing (Pay) Officer,,
,25A,Diving Officer,,
,26A,Electronics Officer,,
,27A,Engineer Officer,,
,28A,Entertainment Officer,,
,29A,Executive Officer,,
,30A,First Lieutenant,,
,31A,Tuan Guru/Religious Teacher,,
,32A,Flag Officer,,
,33A,Flag Lieutenant,,
,34A,Fleet Material Commander,,
,35A,Fleet Operational Commander,,
,36A,Helicopter Controlling Officer,,
,37A,Guard Officer,,
,38A,Gunnery Officer,,
,39A,Landing Officer,,
,40A,Logistics Officer,,
,41A,Medical Officer,,
,42A,Navigation Officer,,
,43A,OCE,,
,44A,OCS,,
,45A,OOW,,
,46A,OTC,,
,47A,SOA,,
,48A,SOPA,,
,49A,Panglima Wilayah Laut 1,,
,50A,Panglima Wilayah Laut 2,,
,51A,Personnel Officer,,
,52A,Police Officer,,
,53A,Radiological Officer,,
,54A,Recreation athletics Officer,,
,55A,Supply Officer,,
,56A,Shore Patrol Officer,,
,57A,Sports Officer,,
,58A,Officer Commanding Marine,,
,59A,Operations Officer,,
,60A,Torpedo Officer,,
,61A,Fishery,,
,62A,Watch Officer,,
,63A,Weapon Officer,,
,64A,Welfare Officer,,
,65A,ASW personnel,,
,66A,Boarding Party,,
,67A,Cable Party,,
,68A,Communications personnel,,
,73A,Crane Driver,,
,74A,Damage control personnel,,
,75A,Driver,,
,76A,Repair and Maintenance party,,
,77A,Electronics personnel,,
,78A,Engine room personnel,,
,79A,First aid party,,
