id,Grouper,Tack,Meaning,created_at,updated_at
,EMERG I,1,Submarine,NULL,NULL
,EMERG I,2,Aircraft,NULL,NULL
,EMERG I,3,Surface ship,NULL,NULL
,EMERG I,4,Missile Launching site/platform,NULL,NULL
,EMERG J,1,Disappearing radar contact,NULL,NULL
,EMERG K,1,Small battle units,NULL,NULL
,EMERG K,2,Saboteurs,NULL,NULL
,EMERG K,3,High speed surface craft,NULL,NULL
,EMERG K,4,Miniature Submarines,NULL,NULL
,EMERG P,1,Ordinary combustible materials,NULL,NULL
,EMERG P,2,Oil substances,NULL,NULL
,EMERG P,3,Electrical,NULL,NULL
,EMERG P,4,"Hazardous materials (magnesium, flares, etc)",NULL,NULL
,EMERG Q,1,Visual,NULL,NULL
,EMERG Q,2,Radar,NULL,NULL
,EMERG Q,3,Sonobuoy,NULL,NULL
,EMERG R,1,"Possible submarine, confidence level 1",NULL,NULL
,EMERG R,2,"Possible submarine, confidence level 2",NULL,NULL
,EMERG R,3,"Possible submarine, confidence level 3",NULL,NULL
,EMERG R,4,"Possible submarine, confidence level 4",NULL,NULL
,EMERG R,5,Probable submarine. (Vol 1 Chapter 10),NULL,NULL
,A FORM,1,Approach,NULL,NULL
,A FORM,2,Carrier strike,NULL,NULL
,G FORM,1,Disposition,NULL,NULL
,G FORM,2,Formation,NULL,NULL
,G FORM,3,This unit (or unit indicated),NULL,NULL
,P FORM,1,Anti - air warfare,NULL,NULL
,P FORM,2,Disposition,NULL,NULL
,P FORM,3,Formation,NULL,NULL
,P FORM,4,Picket,NULL,NULL
,P FORM,5,Screen,NULL,NULL
,P FORM,6,Search,NULL,NULL
,FORM P,1,Anti - air warfare,NULL,NULL
,FORM P,2,Disposition,NULL,NULL
,FORM P,3,Formation,NULL,NULL
,FORM P,4,Picket,NULL,NULL
,FORM P,5,Screen,NULL,NULL
,FORM P,6,Search,NULL,NULL
,FORM L,1,Regardless of distance,NULL,NULL
,FORM L,2 PORT,At not less than standard distance.Carrier altering course to PORT at speed,NULL,NULL
,FORM L,2 STBD,At not less than standard distance. Carrier altering course to STBD at speed,NULL,NULL
,STATION F,1,Take station accordingly,NULL,NULL
,STATION I,1,To admit ship or unit indicated.,NULL,NULL
,STATION I,2,To close the gap in the screen,NULL,NULL
,STATION I,3,To facilitate signalling (with this unit or unit indicated),NULL,NULL
,STATION L,1,Alongside.,NULL,NULL
,STATION L,2,Astern.,NULL,NULL
,STATION L,3,"Lifeguard (1,000 yards astern unless otherwise indicated)",NULL,NULL
,STATION L,4,Quarter.,NULL,NULL
,STATION L,5,Standby (300 to 500 yards astern).,NULL,NULL
,STATION L,6,Standby (400 yards abeam),NULL,NULL
,STATION L,7,VERTREP,NULL,NULL
,STATION V,1,Hoist your station number.,NULL,NULL
,STATION X,1,Anti-air warfare protection.,NULL,NULL
,STATION X,2,Anchoring in formation in accordance with berthing plan. Ships are to take station on the guide.,NULL,NULL
,STATION X,3,Nuclear attack defence.,NULL,NULL
,STATION X,4,Attack.,NULL,NULL
,STATION X,5,Communication linking Ship.,NULL,NULL
,STATION X,6,Electronic countermeasures.,NULL,NULL
,STATION X,7,Exercise.,NULL,NULL
,STATION X,8,Gain information of the enemy.,NULL,NULL
,STATION X,9,Guided missile defence.,NULL,NULL
,STATION X,10,"Lifeguard (Vol. 1, Chapter 13).",NULL,NULL
,STATION X,11,"Picket (station number __ ) (Vol. 1, Chapter 13).",NULL,NULL
,STATION X,12,"Pouncer (station number __ ) (Vol. 1, Chapter 13).",NULL,NULL
,STATION X,13,Previous instructions.,NULL,NULL
,STATION X,14,"Rescue destroyer (station number__ ') (unit on which to take station may be indicated) (Vol. 1, Chapter 15) (IN ABEYANCE).",NULL,NULL
,STATION X,15,Screening this or unit indicated.,NULL,NULL
,STATION X,16,Small boat defence.,NULL,NULL
,STATION X,17,Smoke laying.,NULL,NULL
,STATION X,18,Submarine defence,NULL,NULL
,STATION X,19,Support of this or unit indicated,NULL,NULL
,STATION X,20,Torpedo firing,NULL,NULL
,TURN W,1,Asymmetrical wave of 30 to 40 each side of base course.,NULL,NULL
,TURN W,2,Narrow weave so as to remain without about 400 yards of section.,NULL,NULL
,TURN W,3,"Broad weave so as to remain within 2,000 yards of station",NULL,NULL
,CORPEN X,1,Conform to screen.,NULL,NULL
,CORPEN X,2,Maintain true bearings and distances.,NULL,NULL
,SPEED C,1,Above cavitations speed.,NULL,NULL
,SPEED C,2,Below cavitations speed.,NULL,NULL
,SPEED M,1,Maximum speed with present engineering configuration.,NULL,NULL
,SPEED N,1,One-third normal speed.,NULL,NULL
,SPEED N,2,Two-third normal speed.,NULL,NULL
,SPEED P,1,Maximum,NULL,NULL
,SPEED P,2,Optimum,NULL,NULL
,D SPEED,1,Decreasing,NULL,NULL
,D SPEED,2,Increasing,NULL,NULL
,Q SPEED,1,Maximum,NULL,NULL
,V SPEED,1,Economical,NULL,NULL
,Y SPEED,1,Recovering,NULL,NULL
,Y SPEED,2,Sweeping,NULL,NULL
,Y SPEED,3,Turning,NULL,NULL
,SCREEN D,1,"SECTOR. Screen centre is at bearing Free_Text_Tack_1 from reference point indicated following DESIG, distance Free_Text_Tack_2 miles.",NULL,NULL
,SCREEN D,2,"GRID. Grid reference position is prominent landmark or geographic
position indicated following DESIG and is in grid quadrant Free_Text_Tack_1 at grid position
Free_Text_Tack_2 .Free_Text_Tack_3. Harbour reference point indicated following DESIG is at grid position
Free_Text_Tack_4 . Grid position is signalled by two groups of three numerals each
separated by TACK.",NULL,NULL
,SCREEN E,1,"SECTOR. Screen centre is at bearing Free_Text_Tack_1 from harbour reference
point indicated following DESIG, distance Free_Text_Tack_2 miles.",NULL,NULL
,SCREEN E,2,"GRID. Grid reference position is prominent landmark or geographic
position indicated following DESIG and is in grid quadrant __ at grid
position __ . Harbour reference point indicated following DESIG is at grid
position ___ Grid position is Signalled by two groups of three numerals each
separated by TACK.",NULL,NULL
,SCREEN H,3,Departure/Entry.,NULL,NULL
,SCREEN H,4,Grid departure/entry,NULL,NULL
,SCREEN H,5,Helicopter windline,NULL,NULL
,SCREEN H,6,Integrated,NULL,NULL
,SCREEN H,7,Sector,NULL,NULL
,SCREEN H,8,Sector departure/entry,NULL,NULL
,SCREEN I,1,Air attack.,NULL,NULL
,SCREEN I,2,Light Forces,NULL,NULL
,SCREEN I,3,Small Craft,NULL,NULL
,SCREEN I,4,Submarines,NULL,NULL
,SCREEN J,1,To admit ship or unit indicated,,
,SCREEN J,2,To close the gap in the screen.,,
,SCREEN M,1,Centre of sector.,NULL,NULL
,SCREEN M,2,Bearing Free_Text_Tack_1 range Free_Text_Tack_2 from the Guide.,NULL,NULL
,SCREEN M,3,Clockwise half of sector.,NULL,NULL
,SCREEN M,4,Counter clockwise half of sector.,NULL,NULL
,SCREEN M,5,Outer half of sector.,NULL,NULL
,SCREEN M,6,Inner half of sector.,NULL,NULL
,SCREEN S,1,Proceed directly to new station,NULL,NULL
,SCREEN S,2,Remain in present station until ordered to a new station,NULL,NULL
,SCREEN T,1,AAW,NULL,NULL
,SCREEN T,2,ASW,NULL,NULL
,SCREEN T,3,SW,NULL,NULL
,H SCREEN,1,Sector,NULL,NULL
,H SCREEN,2,Helicopter wind line,NULL,NULL
,H SCREEN,3,Integrated,NULL,NULL
,I SCREEN,1,Aircraft.,NULL,NULL
,I SCREEN,2,Missile.,NULL,NULL
,I SCREEN,3,Submarine.,NULL,NULL
,I SCREEN,4,Surface vessel.,NULL,NULL
,I SCREEN,5,Torpedo.,NULL,NULL
,L SCREEN,1,ZZ,NULL,NULL
,L SCREEN,2,QQ,NULL,NULL
,L SCREEN,3,Unit indicated,NULL,NULL
,L SCREEN,4,Harbour reference point indicated following DESIG.,NULL,NULL
,L SCREEN,5,Bearing Free_Text_Tack_1 from harbour reference point indicated following DESIG. Distance Free_Text_Tack_2 miles.,NULL,NULL
,L SCREEN,6,Grid position indicated following DESIG.,NULL,NULL
